,compound_id,base_rdkit_smiles,relation,pXC50,active
0,CHEMBL161780,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN3CC[C@@H](CNCc4ccccc4)C3)c2c1,,5.236572006437063,0
1,CHEMBL1852587,Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(CC(C)C)c3C)CC2)c1C,,6.66374049414256,0
2,CHEMBL1852779,COc1cc(OC)cc(-n2c(C)nc(C(=O)NCCCN3CCN(c4cccc(C)c4C)CC3)c2C)c1,,7.494850021680094,1
3,CHEMBL2393275,Fc1ccc(Nc2nc(N3CCN(Cc4ccccc4)CC3)nc3[nH]ncc23)cc1,,7.282329496997738,1
4,CHEMBL414668,C1=C(c2c(-c3ccccc3)[nH]c3ccccc23)CCNC1,,7.301029995663981,1
5,CHEMBL3681370,Cc1ccc(-n2c(C)nc(C(=O)NCC(O)CN3CCN(c4cccc(C)c4C)CC3)c2C)cc1,,7.166215625343521,1
6,CHEMBL3823832,Cc1sc2ccccc2c1[C@@H]1C=CN=CN1,,6.448550002027125,0
7,CHEMBL218587,CCC(CC)(CC)NC1=NCCNC(c2ccc(F)cc2F)=C1,,8.431798275933005,1
8,CHEMBL3681371,CCc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3)CC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Br)cc1,,5.898940645091884,0
9,CHEMBL2393274,OCCN1CCN(c2nc(Nc3ccc(F)cc3)c3cn[nH]c3n2)CC1,,6.787812395596042,0
10,CHEMBL11409,CCCN1CCN(CCCCN2C(=O)CC3(CCCC3)CC2=O)CC12COc1cccc(OC)c1C2,,4.950000175844591,0
11,CHEMBL4213342,CNC(=O)c1cc(OCCCCN2CCN(c3nsc4ccccc34)CC2)ccn1,,6.94692155651658,0
12,CHEMBL597151,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCc1ccc(Cl)cc1,,7.899974269892137,1
13,CHEMBL3601034,COc1ccc(-c2ccc(CCCNc3ccc(CN4CCC(O)CC4)cc3)nn2)cc1,,5.054531414868181,0
14,CHEMBL4283546,O=C1C2CCCCC2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,,7.468521082957745,1
15,CHEMBL4292655,O=C1[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C(=O)N1CCCN1CCN(c2cccc3sccc23)CC1,,6.94692155651658,0
16,CHEMBL3217169,Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4ccccc4)n(-c4ccccc4)c3C)CC2)c1C,,7.531652669587842,1
17,CHEMBL1933573,CN1CCC(N(C)S(=O)(=O)c2cccc3ccccc23)CC1,,6.29929628285498,0
18,CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,,8.441473782167506,1
19,CHEMBL2376490,Cc1[nH]c2ccc(-c3ccsc3)cc2c1C1=CCNCC1,<,6.0,0
20,CHEMBL596976,COc1ccc(NC(=O)Nc2ccc(C(C)C)cc2)cc1-c1c(Br)cnn1C,,8.599980364934842,1
21,CHEMBL80093,CC(C)NC(=O)N(C1CCCCCCC1)C1CCN(CCCOc2ccc(F)cc2)CC1,,7.100015437450609,1
22,CHEMBL487222,CNC(C)c1ccccc1Oc1ccc(Cl)cc1,,6.747146969020107,0
23,CHEMBL1852516,Cc1nc(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1,,7.508638306165727,1
24,CHEMBL3601041,O[C@@H]1CCCN(Cc2ccc(OCCCc3ccc(Oc4ccccc4)nn3)cc2)C1,<,5.0,0
25,CHEMBL599429,COc1ccc(NC(=O)Nc2cccc(C(C)=O)c2)cc1-c1c(Br)cnn1C,,8.400007822415901,1
