,index,compound_id,base_rdkit_smiles,relation,pXC50,active,VALUE_NUM_std,Perc_Var,mol_wt,VALUE_NUM_mean
0,3,CHEMBL2331796,CCOc1noc2c1CCN(C)CC2,,3.5,0,,0.0,196.121177752,3.5
1,4,CHEMBL2331791,CCN1OC2=CCN(C)CCC2C1=O,,3.5,0,,0.0,196.121177752,3.5
2,5,CHEMBL2331808,CN1CC=C2ON(C)C(=O)C2CC1,,3.5,0,,0.0,182.105527688,3.5
3,6,CHEMBL2331795,COc1noc2c1CCN(C)CC2,,3.5,0,,0.0,182.105527688,3.5
4,7,CHEMBL2331805,CCN1OC2=CCNCCC2C1=O,,3.52,0,,0.0,182.105527688,3.52
5,8,CHEMBL416336,CCCN(CCC)CC1(N(CCC)CCC)COc2cccc(OC)c2C1,,3.669999997867538,0,0.0,0.0,376.3089785199999,3.669999997867538
6,9,CHEMBL1684128,CCCN1CCc2cccc3c2C1Cc1cccc(OCCCCN2CCN(c4ccccc4OC)CC2)c1-3,,4.0,0,,0.0,525.335527616,4.0
7,10,CHEMBL2331806,CCCN1OC2=CCNCCC2C1=O,,4.0,0,,0.0,196.121177752,4.0
8,11,CHEMBL4212812,Cc1cc(OCCCN2CCN(c3ccccc3)CC2)ccc1Cl,,4.066512712151295,0,,0.0,344.1655411,4.066512712151295
9,12,CHEMBL3264204,COc1cc(/C=C/C(=O)NCCn2c(C(F)(F)F)cc3ccccc32)cc(OC)c1OC,,4.1249387366083,0,0.002851380910258548,0.039925509520956914,448.16099187599997,4.1232924910722
10,13,CHEMBL3311308,COc1ccc(S(=O)(=O)Nc2c(C)cc(C)cc2C)cc1,<,4.399999967876858,0,0.0,0.0,305.108564468,4.399999967876858
11,14,CHEMBL1651208,O=C(O)c1cc(-c2cccc(COc3ccc4c(O)n(C5CCCC5)cc4c3)c2)ccc1Cl,,4.4,0,,0.0,461.139385928,4.4
12,15,CHEMBL522746,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(O)c3CN1CC2,,4.4,0,,0.0,341.16270821600006,4.4
13,16,CHEMBL2203713,NC(=Nc1ccc2c(c1)CCN2C1CCNCC1)c1cccs1,,4.4,0,,0.0,326.156517704,4.4
14,17,CHEMBL2237158,Cn1c(=O)c2c(nc3n2CCCC(=O)N3CCCN2CCN(c3ncccn3)CC2)n(C)c1=O,,4.41,0,,0.0,467.2393357880001,4.41
15,18,CHEMBL1235966,COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(O)c3CN1CC2,,4.42,0,,0.0,327.14705815200006,4.42
16,19,CHEMBL2057440,COc1ccc2c(c1)C[C@H]1c3cc4c(cc3CCN1C2)OCO4,,4.42,0,,0.0,309.13649346799997,4.42
17,20,CHEMBL2057449,COc1ccc2c(c1)C[C@H]1c3c(OC)cc(OC)c(CO)c3CCN1C2,,4.44,0,,0.0,355.17835828000005,4.44
18,21,CHEMBL276393,CN(C)CCN(C)c1nc2ccc(NC(=O)COc3ccc(C(F)(F)F)cc3)cc2n1C,,4.45,0,,0.0,449.203859732,4.45
19,22,CHEMBL2057442,COc1cc2c(cc1OC)[C@@H]1Cc3c(CO)c(OC)cc(OC)c3CN1CC2,,4.5,0,,0.0,385.188922964,4.5
20,23,CHEMBL2057445,COc1cc2c(c(OC)c1)CN1CCc3cc(OC)cc(OC)c3[C@@H]1C2,,4.52,0,,0.0,355.17835828,4.52
21,24,CHEMBL393380,FC(F)(F)c1ccc2c(c1)N(CCCNc1cccc(Oc3ccccc3)c1)c1ccccc1S2,,4.52,0,,0.0,492.148319016,4.52
22,26,CHEMBL2057450,COc1ccc(OC)c2c1C[C@H]1c3c(OC)cc(OC)c(CO)c3CCN1C2,,4.53,0,,0.0,385.188922964,4.53
23,27,CHEMBL2334880,COc1c(O)ccc2c1CN1CCc3cc4c(cc3[C@H]1C2)OCO4,,4.53,0,,0.0,325.131408088,4.53
24,28,CHEMBL2237157,Cn1c(=O)c2c(nc3n2CCC(=O)N3CCCN2CCN(c3ncccn3)CC2)n(C)c1=O,,4.55,0,,0.0,453.2236857240001,4.55
25,29,CHEMBL1395394,COc1cc2c(cc1O)[C@H]1Cc3ccc(OC)c(O)c3CN1CC2,,4.55,0,,0.0,327.14705815200006,4.55
26,30,CHEMBL1275791,CN(C)[C@H]1CC[C@@H](c2c[nH]c3ccc(F)cc23)C1,,4.552841968657781,0,0.0016408113695981937,0.020811617131931234,246.153226828,4.551894645771854
27,31,CHEMBL3609160,OCCN1CCN(c2nc(Nc3ccc(Br)cc3)c3ccccc3n2)CC1,,4.557206774060231,0,0.0,1.948953522924756e-14,427.100772424,4.557206774060232
28,32,CHEMBL2057457,COc1cc2c(cc1O)[C@@H]1Cc3cc(C)cc(C)c3CN1CC2,,4.57,0,,0.0,309.17287897600005,4.57
29,33,CHEMBL577250,C[C@@H]1CNCCN1C1=NC(=CCc2ccccc2Cl)N(C)C(=O)C1,,4.57,0,,0.0,346.156039036,4.57
30,34,CHEMBL2334894,COc1cc2c(cc1OC)[C@H]1Cc3ccc(O)c(OC)c3CN1CC2,,4.59,0,,0.0,341.16270821600006,4.59
31,35,CHEMBL275481,CCCN1CCN(Cc2ccccc2)CC12COc1cccc(OC)c1C2,,4.609999985082743,0,8.881784197001252e-16,0.0,366.23072819999993,4.609999985082743
32,36,CHEMBL2334889,COc1cc2c(cc1OC)[C@H]1Cc3ccc(OC)c(OC)c3CN1CC2,,4.63,0,,0.0,355.17835828000005,4.63
33,37,CHEMBL564144,C[C@@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,,4.65,0,,0.0,310.15036970399996,4.65
34,38,CHEMBL2237151,Cn1c(=O)c2c(nc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)n2C)n(C)c1=O,,4.65,0,,0.0,444.22737413600004,4.65
35,39,CHEMBL232205,FC(F)(F)c1ccc2c(c1)N(Cc1ccc(CNc3cccc(Oc4ccccc4)c3)cc1)c1ccccc1S2,,4.65,0,,0.0,554.16396908,4.65
36,40,CHEMBL2047561,OC(CCN1CC=C(Cc2ccccc2)CC1)c1cc2ccccc2s1,,4.66,0,,0.0,363.16568542000005,4.66
37,41,CHEMBL2057443,COc1cc2c(c(OC)c1)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,,4.66,0,,0.0,339.147058152,4.66
38,42,CHEMBL2207493,CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,,4.67,0,,0.0,293.12948994,4.67
39,43,CHEMBL556506,C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1cnccn1,,4.67,0,,0.0,293.18919773600004,4.67
40,44,CHEMBL3609158,OCCN1CCN(c2nc(Nc3ccc(F)cc3)c3ccccc3n2)CC1,,4.6724367398127225,0,0.0,0.0,367.18083854400004,4.6724367398127225
41,45,CHEMBL2057455,COc1cc2c(c(OC)c1)CN1CCc3cc(OC)c(O)cc3[C@@H]1C2,,4.68,0,,0.0,341.162708216,4.68
42,46,CHEMBL564226,CC(=C1c2ccccc2CC1CCN(C)C)c1ccccn1,,4.69,0,,0.0,292.193948768,4.69
43,47,CHEMBL487182,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,,4.69,0,,0.0,355.17835828000005,4.69
44,48,CHEMBL2057439,COc1ccc2c(c1)C[C@H]1c3cc(OC)c(OC)cc3CCN1C2,,4.7,0,,0.0,325.167793596,4.7
45,49,CHEMBL1224031,O=C(Nc1ccccc1)N1OCC2CSc3ccc(F)cc3C21,,4.7,0,,0.0,330.08382694000005,4.7
46,50,CHEMBL4207653,COc1ccccc1N1CCN(CCOCCOc2c(C)cc(C)cc2C)CC1,,4.739928612014925,0,,0.0,398.256942948,4.739928612014925
47,51,CHEMBL2334888,COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3O)C[C@H]21,,4.75,0,,0.0,327.147058152,4.75
48,52,CHEMBL2057451,COc1cc2c(cc1OC)[C@@H]1Cc3cc(C)cc(C)c3CN1CC2,,4.76,0,,0.0,323.18852904000005,4.76
49,53,CHEMBL2334885,COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3OC)C[C@@H]21,,4.79,0,,0.0,341.162708216,4.79
50,54,CHEMBL11262,CCCN(CCC)CC1COc2cccc(OC)c2C1,,4.800000052738446,0,0.0,0.0,277.204179104,4.800000052738446
51,55,CHEMBL577618,Cc1cc(=O)n(CCCOc2ccccc2F)c(N2CCNCC2)n1,,4.81,0,,0.0,346.1805041960001,4.81
52,56,CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,,4.823908740944319,0,0.0022567126363945934,0.02701679744862945,361.110119852,4.822605827296212
53,57,CHEMBL2334886,COc1cc2c(cc1O)CCN1Cc3c(ccc(OC)c3OC)C[C@H]21,,4.83,0,,0.0,341.162708216,4.83
54,58,CHEMBL2334892,COc1cc2c(cc1O)[C@H]1Cc3ccc(OC)c(OC)c3CN1CC2,,4.83,0,,0.0,341.16270821600006,4.83
55,59,CHEMBL2334891,COc1cc2c(cc1O)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,,4.83,0,,0.0,341.16270821600006,4.83
56,60,CHEMBL590721,O=C1NC2CNCCCN2c2cccc(Cl)c21,,4.87,0,,0.0,251.082539748,4.87
57,61,CHEMBL2047570,OC(CCN1CC=C(Cc2ccccc2)CC1)c1csc2ccccc12,,4.87,0,,0.0,363.16568542000005,4.87
58,62,CHEMBL4209942,Oc1ccccc1C1=NC(Cc2c[nH]cn2)C(c2ccccc2)S1,,4.886056647693163,0,,0.0,335.109233164,4.886056647693163
59,63,CHEMBL234219,CN1CCCC(CN2c3ccccc3Sc3ccc(-c4ccccc4)cc32)C1,,4.9,0,,0.0,386.18166983199995,4.9
60,64,CHEMBL571733,Cc1cc(=O)n(CCCOc2ccccc2)c(N2CCNCC2)n1,,4.9,0,,0.0,328.18992600800004,4.9
61,65,CHEMBL565351,C[C@@H]1CNCCN1C1=NC(=CCc2ccccc2C(F)(F)F)N(C)C(=O)C1,,4.91,0,,0.0,380.18239601600004,4.91
62,66,CHEMBL487387,COc1cc2c(cc1O)[C@@H]1Cc3ccc(O)c(OC)c3CN1CC2,,4.92,0,,0.0,327.14705815200006,4.92
63,67,CHEMBL160610,NC1c2ccccc2Cc2ccccc21,,4.92,0,,0.0,195.104799416,4.92
64,68,CHEMBL128,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,,4.920932421445461,0,0.010340828669055752,0.14881227185039103,295.135447912,5.666810175685242
65,69,CHEMBL1651219,O=C(O)c1cc(-c2cccc(COc3ccc4c(=O)n(C5CCCC5)sc4c3)c2)ccc1Cl,,4.93,0,,0.0,479.095806864,4.93
66,70,CHEMBL2323579,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@@H]2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,,4.939302159646388,0,0.00040289831600938744,0.004709217808749109,439.29472542400003,4.939534773097592
67,71,CHEMBL490533,COc1ccc2c(c1OC)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,,4.94,0,,0.0,339.147058152,4.94
68,72,CHEMBL11409,CCCN1CCN(CCCCN2C(=O)CC3(CCCC3)CC2=O)CC12COc1cccc(OC)c1C2,,4.950000175844591,0,0.0,0.0,497.3253568559999,4.950000175844591
69,73,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,,4.953036845876576,0,0.3157893242699658,3.550308567043995,344.10802622400007,5.13535789725105
70,74,CHEMBL1173527,CN1C(=N)N(C)/C(=C/c2c[nH]c3ccc(Cl)cc23)C1=O,,4.97,0,,0.0,288.077788716,4.97
71,75,CHEMBL2314732,COc1ccc2c(c1O)CN1CCc3cc4c(cc3[C@@H]1C2)OCO4,,4.98,0,,0.0,325.131408088,4.98
72,76,CHEMBL2057446,COc1cc2c(c(OC)c1)CN1CCc3cc(OC)c(OC)c(OC)c3[C@@H]1C2,,4.98,0,,0.0,385.18892296399997,4.98
73,77,CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,,4.980094800195386,0,0.3117144124440721,3.487716970798508,270.05282342000004,5.160063200130257
74,78,CHEMBL3601043,OCC1CCN(Cc2ccc(OCCCc3ccc(Oc4ccccc4)nn3)cc2)CC1,<,5.0,0,0.0,0.0,433.2365418520001,5.0
75,79,CHEMBL2393231,CNc1nc(N2CCN(C)CC2)nc2c1CCNCC2,<,5.0,0,0.5316356748751911,5.783747319547611,276.206244768,5.30694
76,80,CHEMBL1092921,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCC2CCN(C(=O)c3cc(F)ccc3F)CC2)C1,<,5.0,0,0.0,0.0,566.231631952,5.0
77,81,CHEMBL1093469,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCN2CCN(C(=O)c3ccccc3)CC2)C1,<,5.0,0,0.0,0.0,531.245724544,5.0
78,82,CHEMBL3601023,Cc1cc(C#Cc2ccc(-c3ccc(Cl)cc3)cn2)ccc1OCCN1CCC[C@H]1CO,<,5.0,0,0.0,0.0,446.176105784,5.0
79,83,CHEMBL1933574,CN1CCC(N(C)S(=O)(=O)c2cccc3ccsc23)CC1,<,5.0,0,0.0,0.0,324.09661988,5.0
80,84,CHEMBL2393257,CCNc1nc(Nc2ccc(F)cc2)c2cn[nH]c2n1,<,5.0,0,0.10969655114602912,1.2829169480081053,272.118572636,4.9366666666666665
81,85,CHEMBL3601046,CC(=O)NC1CCN(Cc2ccc(OCCCc3ccc(Cc4ccccc4)nn3)cc2)CC1,<,5.0,0,0.0,0.0,458.26817632800004,5.0
82,86,CHEMBL1092929,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCC2CCN(C(=O)c3ccccc3)CC2)C1,<,5.0,0,0.0,0.0,530.250475576,5.0
83,87,CHEMBL1092238,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCN2CCN(C(=O)c3ccccc3Cl)CC2)C1,<,5.0,0,0.0,0.0,565.2067521920001,5.0
84,88,CHEMBL2393235,CN1CCN(c2nc3c(c(N4CCOCC4)n2)CCNCC3)CC1,<,5.0,0,0.0,0.0,332.232459516,5.0
85,89,CHEMBL1088874,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCC2CCN(C(=O)c3ccccc3Cl)CC2)C1,<,5.0,0,0.0,0.0,564.211503224,5.0
86,90,CHEMBL2334893,COc1cc2c(cc1O)[C@@H]1Cc3cc4c(cc3CN1CC2)OCO4,,5.0,0,,0.0,325.131408088,5.0
87,91,CHEMBL2393250,CCCNc1nc(Nc2ccccc2)c2cn[nH]c2n1,<,5.0,0,0.21361959960016172,2.5290498974709634,268.143644512,4.876666666666666
88,92,CHEMBL3601033,COc1ccc(-c2ccc(CCCNc3ccc(CN4CCCC(O)C4)cc3)nn2)cc1,<,5.0,0,0.0,0.0,432.252526264,5.0
